cage_id	id	rt	exp_time	state	days
5	1	37.98	2018-09-30	HA	18
5	2	38.53	2018-09-30	HA	18
5	3	38.5	2018-09-30	HA	18
5	4	38.32	2018-09-30	HA	18
6	0	37.44	2018-09-30	CR	18
6	1	38.65	2018-09-30	CR	18
6	2	38.03	2018-09-30	CR	18
6	3	38.48	2018-09-30	CR	18
6	4	37.7	2018-09-30	CR	18
7	0	37.95	2018-09-30	CR	18
7	1	38.48	2018-09-30	CR	18
7	2	38.12	2018-09-30	CR	18
7	3	38.29	2018-09-30	CR	18
7	4	37.9	2018-09-30	CR	18
8	0	37.83	2018-09-30	CR	18
8	1	38.25	2018-09-30	CR	18
8	2	38.19	2018-09-30	CR	18
8	3	38.31	2018-09-30	CR	18
8	4	37.94	2018-09-30	CR	18
1	0	37.82	2018-10-02	HA	20
1	1	37.89	2018-10-02	HA	20
1	2	37.75	2018-10-02	HA	20
1	3	NA	2018-10-02	HA	20
1	4	38.14	2018-10-02	HA	20
2	0	37.55	2018-10-02	HA	20
2	1	37.73	2018-10-02	HA	20
2	2	37.54	2018-10-02	HA	20
2	3	37.72	2018-10-02	HA	20
2	4	37.43	2018-10-02	HA	20
3	0	38.45	2018-10-02	HA	20
3	1	37.78	2018-10-02	HA	20
3	2	38.12	2018-10-02	HA	20
3	3	38.03	2018-10-02	HA	20
3	4	37.57	2018-10-02	HA	20
4	0	38.21	2018-10-02	HA	20
4	1	38.89	2018-10-02	HA	20
4	2	38.41	2018-10-02	HA	20
4	3	37.57	2018-10-02	HA	20
4	4	38.12	2018-10-02	HA	20
5	0	38.02	2018-10-02	HA	20
5	1	37.92	2018-10-02	HA	20
5	2	38.74	2018-10-02	HA	20
5	3	38.37	2018-10-02	HA	20
5	4	38.04	2018-10-02	HA	20
6	0	38.52	2018-10-02	CR	20
6	1	38.33	2018-10-02	CR	20
6	2	37.73	2018-10-02	CR	20
6	3	37.67	2018-10-02	CR	20
6	4	38.25	2018-10-02	CR	20
7	0	38.27	2018-10-02	CR	20
7	1	37.64	2018-10-02	CR	20
7	2	38.39	2018-10-02	CR	20
7	3	37.79	2018-10-02	CR	20
7	4	37.94	2018-10-02	CR	20
8	0	37.45	2018-10-02	CR	20
8	1	37.58	2018-10-02	CR	20
8	2	37.96	2018-10-02	CR	20
8	3	37.76	2018-10-02	CR	20
8	4	37.69	2018-10-02	CR	20
1	0	38.22	2018-10-06	HA	24
1	1	38.32	2018-10-06	HA	24
1	2	38.29	2018-10-06	HA	24
1	3	NA	2018-10-06	HA	24
1	4	38.44	2018-10-06	HA	24
2	0	37.35	2018-10-06	HA	24
2	1	37.28	2018-10-06	HA	24
2	2	37.32	2018-10-06	HA	24
2	3	37.41	2018-10-06	HA	24
2	4	37.75	2018-10-06	HA	24
3	0	38.65	2018-10-06	HA	24
3	1	38.53	2018-10-06	HA	24
3	2	38.92	2018-10-06	HA	24
3	3	38.4	2018-10-06	HA	24
3	4	38.37	2018-10-06	HA	24
4	0	37.97	2018-10-06	HA	24
4	1	38.19	2018-10-06	HA	24
4	2	38.09	2018-10-06	HA	24
4	3	37.69	2018-10-06	HA	24
4	4	37.71	2018-10-06	HA	24
5	0	38.25	2018-10-06	HA	24
5	1	38.58	2018-10-06	HA	24
5	2	38.23	2018-10-06	HA	24
5	3	38.14	2018-10-06	HA	24
5	4	38.05	2018-10-06	HA	24
6	0	37.6	2018-10-06	CR	24
6	1	38.07	2018-10-06	CR	24
6	2	37.51	2018-10-06	CR	24
6	3	38.3	2018-10-06	CR	24
6	4	38.07	2018-10-06	CR	24
7	0	38.03	2018-10-06	CR	24
7	1	37.4	2018-10-06	CR	24
7	2	37.86	2018-10-06	CR	24
7	3	38.51	2018-10-06	CR	24
7	4	38.34	2018-10-06	CR	24
8	0	37.96	2018-10-06	CR	24
8	1	38.91	2018-10-06	CR	24
8	2	38.29	2018-10-06	CR	24
8	3	38.26	2018-10-06	CR	24
8	4	37.96	2018-10-06	CR	24
1	0	37.98	2018-10-07	HA	25
1	1	38.15	2018-10-07	HA	25
1	2	37.65	2018-10-07	HA	25
1	3	NA	2018-10-07	HA	25
1	4	37.93	2018-10-07	HA	25
2	0	38.36	2018-10-07	HA	25
2	1	38.21	2018-10-07	HA	25
2	2	38.14	2018-10-07	HA	25
2	3	38.07	2018-10-07	HA	25
2	4	38.64	2018-10-07	HA	25
3	0	37.68	2018-10-07	HA	25
3	1	37.36	2018-10-07	HA	25
3	2	37.55	2018-10-07	HA	25
3	3	37.57	2018-10-07	HA	25
3	4	37.3	2018-10-07	HA	25
4	0	37.82	2018-10-07	HA	25
4	1	38.22	2018-10-07	HA	25
4	2	37.93	2018-10-07	HA	25
4	3	37.84	2018-10-07	HA	25
4	4	37.72	2018-10-07	HA	25
5	0	37.72	2018-10-07	HA	25
5	1	38.06	2018-10-07	HA	25
5	2	38.36	2018-10-07	HA	25
5	3	38.4	2018-10-07	HA	25
5	4	38.13	2018-10-07	HA	25
6	0	38.48	2018-10-07	CR	25
6	1	38.64	2018-10-07	CR	25
6	2	38.42	2018-10-07	CR	25
6	3	37.76	2018-10-07	CR	25
6	4	38.27	2018-10-07	CR	25
7	0	37.87	2018-10-07	CR	25
7	1	37.67	2018-10-07	CR	25
7	2	37.85	2018-10-07	CR	25
7	3	37.83	2018-10-07	CR	25
7	4	38.46	2018-10-07	CR	25
8	0	38.21	2018-10-07	CR	25
8	1	37.81	2018-10-07	CR	25
8	2	39.1	2018-10-07	CR	25
8	3	37.84	2018-10-07	CR	25
8	4	36.91	2018-10-07	CR	25
1	0	38.65	2018-10-08	HA	26
1	1	38.79	2018-10-08	HA	26
1	2	37.82	2018-10-08	HA	26
1	3	NA	2018-10-08	HA	26
1	4	38.3	2018-10-08	HA	26
2	0	37.7	2018-10-08	HA	26
2	1	37.63	2018-10-08	HA	26
2	2	37.57	2018-10-08	HA	26
2	3	37.72	2018-10-08	HA	26
2	4	37.93	2018-10-08	HA	26
3	0	39.12	2018-10-08	HA	26
3	1	39.18	2018-10-08	HA	26
3	2	38.87	2018-10-08	HA	26
3	3	39.18	2018-10-08	HA	26
3	4	39.14	2018-10-08	HA	26
4	0	37.99	2018-10-08	HA	26
4	1	38.15	2018-10-08	HA	26
4	2	38.02	2018-10-08	HA	26
4	3	37.92	2018-10-08	HA	26
4	4	37.64	2018-10-08	HA	26
5	0	38.28	2018-10-08	HA	26
5	1	38.48	2018-10-08	HA	26
5	2	38.49	2018-10-08	HA	26
5	3	38.53	2018-10-08	HA	26
5	4	38.24	2018-10-08	HA	26
6	0	38.25	2018-10-08	CR	26
6	1	37.51	2018-10-08	CR	26
6	2	37.89	2018-10-08	CR	26
6	3	38	2018-10-08	CR	26
6	4	38.97	2018-10-08	CR	26
7	0	37.4	2018-10-08	CR	26
7	1	38.25	2018-10-08	CR	26
7	2	38.3	2018-10-08	CR	26
7	3	38.02	2018-10-08	CR	26
7	4	38.31	2018-10-08	CR	26
8	0	38.24	2018-10-08	CR	26
8	1	38.09	2018-10-08	CR	26
8	2	38.18	2018-10-08	CR	26
8	3	38.27	2018-10-08	CR	26
8	4	38.14	2018-10-08	CR	26
1	0	37.9	2018-10-10	HA	28
1	1	38.29	2018-10-10	HA	28
1	2	37.83	2018-10-10	HA	28
1	3	NA	2018-10-10	HA	28
1	4	38.16	2018-10-10	HA	28
2	0	38.06	2018-10-10	HA	28
2	1	38.37	2018-10-10	HA	28
2	2	38.27	2018-10-10	HA	28
2	3	38.3	2018-10-10	HA	28
2	4	38.33	2018-10-10	HA	28
3	0	38.59	2018-10-10	HA	28
3	1	38.46	2018-10-10	HA	28
3	2	38.74	2018-10-10	HA	28
3	3	38.43	2018-10-10	HA	28
3	4	38.06	2018-10-10	HA	28
4	0	37.72	2018-10-10	HA	28
4	1	38.26	2018-10-10	HA	28
4	2	38.24	2018-10-10	HA	28
4	3	38.06	2018-10-10	HA	28
4	4	37.92	2018-10-10	HA	28
5	0	38.25	2018-10-10	HA	28
5	1	37.86	2018-10-10	HA	28
5	2	38.16	2018-10-10	HA	28
5	3	37.97	2018-10-10	HA	28
