Treatment	CR	CR	CR	CR	CR	CR	CR	CR	HA	HA	HA	HA	HA	HA	HA	HA
k__Archaea|p__Crenarchaeota|c__Thaumarchaeota|o__Cenarchaeales|f__Cenarchaeaceae	0.000000e+00	5.129784e-05	0.000000e+00	1.663561e-05	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	6.320642e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae	5.348070e-05	1.025957e-04	1.739917e-05	1.663561e-05	3.647040e-05	2.079290e-04	7.257026e-05	5.447147e-04	1.859012e-05	3.557706e-05	1.903964e-05	1.092936e-04	1.732102e-04	3.742725e-05	1.878746e-05	1.786225e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.000000e+00	1.709928e-05	8.699586e-05	0.000000e+00	0.000000e+00	6.930968e-05	0.000000e+00	0.000000e+00	5.577037e-05	0.000000e+00	0.000000e+00	1.821560e-05	0.000000e+00	1.122818e-04	0.000000e+00	1.786225e-05
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.0014439790	0.0029581752	0.0021226990	0.0014140271	0.0005835263	0.0087850014	0.0034289446	0.0008010510	0.0126226948	0.0020990465	0.0007806253	0.0003825276	0.0005388761	0.0005614088	0.0004696864	0.0052515004
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	4.428202e-02	1.342293e-02	2.202735e-02	7.868645e-03	1.285581e-02	8.663709e-05	7.982728e-04	3.845045e-04	5.967430e-03	2.371211e-02	4.569514e-03	1.572006e-02	2.424942e-03	1.302468e-02	2.673455e-02	8.448843e-03
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	8.913450e-03	2.787182e-03	5.254550e-03	1.730104e-03	6.929375e-04	1.732742e-05	1.814256e-05	1.281682e-04	3.160321e-04	2.899530e-03	5.711892e-05	7.468396e-04	3.849115e-04	1.104104e-03	1.296335e-03	1.893398e-03
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.252482396	0.031531069	0.113059818	0.273023689	0.475993362	0.185438037	0.226237776	0.034893781	0.007566181	0.098833072	0.014165493	0.174578309	0.066531948	0.029960514	0.191406617	0.289404115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__RF16	6.239415e-04	1.196949e-04	4.210600e-03	3.044317e-03	1.641168e-04	0.000000e+00	5.442769e-05	1.922522e-04	4.275729e-04	4.447132e-04	2.284757e-04	3.460964e-03	2.886836e-04	3.742725e-04	6.951359e-04	7.144899e-05
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2.852304e-04	5.129784e-05	1.809514e-03	4.491616e-04	9.117599e-05	0.000000e+00	0.000000e+00	0.000000e+00	3.346222e-04	2.846165e-04	2.379955e-03	4.553900e-04	2.309469e-04	2.619908e-04	5.448363e-04	1.786225e-04
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7	0.02037615	0.06345542	0.04001810	0.03623237	0.02523751	0.04182839	0.04265317	0.05153962	0.14316255	0.06105023	0.08988614	0.07094976	0.13760585	0.11372270	0.06305071	0.05069306
