Sample,pos_H_1_4,pos_H_2_0,pos_H_3_1,pos_H_3_2,pos_H_4_0,pos_H_4_3,pos_H_5_1,pos_H_5_2,pos_H_5_3,pos_H_5_4,pos_C_6_0,pos_C_6_2,pos_C_6_3,pos_C_7_0,pos_C_7_2,pos_C_7_3,pos_C_7_4,pos_C_8_0,pos_C_8_2,pos_C_8_4
label,HA,HA,HA,HA,HA,HA,HA,HA,HA,HA,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
Com_16939_pos,51424.0748003,26828.3645548,32474.9483728,19814.8048077,41410.0125709,42349.247873,40907.4401861,43502.2675256,105428.304521,24602.4895718,43017.1952788,39877.7328787,36492.0211595,52952.5073311,45256.4950313,37041.2499299,21558.6283586,33939.5814634,53752.5851204,57753.333677
Com_16940_pos,18866.2541965,36192.4158788,60024.0415116,42427.1156318,45728.3344626,42719.6048509,14113.6388894,25960.7991097,30814.0603352,94075.0649564,23746.1401673,36168.6710693,36228.5837007,52845.0433127,61101.3094075,106195.382349,85021.2716915,42582.8676397,36699.7537489,36792.533406
Com_16948_pos,114691.082989,15878.8340831,18666.8860677,11442.01343,18942.2319452,25406.515805,42344.3412487,35491.1505041,16627.0513373,18517.8787055,16808.8074209,13032.1426689,22798.2743789,14840.157248,10809.4407783,10991.0987743,18235.6009252,9652.55648892,17124.9711272,35475.5244903
Com_16949_pos,4947.44209079,17363.1973248,55080.2620577,21320.5757024,5314.44091774,70254.7843639,6187.36317222,5237.78265539,10333.9103158,98290.2951689,9749.00040335,16323.5190415,18474.3759689,9347.75613823,123077.737632,57206.5284979,99819.8279092,17716.3703514,18638.1404752,32463.1783079
Com_16951_pos,20379.4592951,22733.514088,27255.856085,22342.1279029,53801.467851,23638.4764481,22164.8857338,108404.725761,22522.1846501,27490.8450994,40678.1279876,26068.3367669,24875.9346067,30075.1546196,29809.3041459,22052.432634,28750.5512303,25662.225969,25161.8341091,26436.2644191
Com_16956_pos,35955.1969864,67161.6500318,63895.230033,74679.2437566,68468.4424992,65670.7209577,64600.6272569,46933.8421833,50844.4719593,115653.978335,64299.4082514,38552.036666,56817.0098167,92953.3560789,85944.0427759,64418.0948443,123014.250788,75223.3026629,59823.0010248,62302.4754756
Com_16961_pos,53138.5626717,106653.833791,84185.1307779,51629.7660499,93505.1036082,100599.84197,86667.1312614,72693.8453686,73536.2087582,113199.215713,111610.254893,75707.2084881,64797.4987358,93578.1231452,122764.100245,65659.1136422,90848.4828038,111662.802392,78199.2952301,99102.7660096
Com_16964_pos,36133.416773,106594.515432,24618.5518174,68184.7689629,44308.8010504,109019.398301,61269.6051242,44578.1211542,44212.0763533,65382.8611326,51298.0625838,34891.8809661,50119.2665535,14499.7074611,93004.9946988,84805.1337246,86970.368395,63910.0473467,67000.9671614,91834.2131187
Com_16975_pos,4960.92747787,4690.79367358,4740.6553763,4428.61856941,7325.15580509,6024.18117984,5750.69691456,3520.99480848,5612.97595955,4664.74694053,8064.8027114,105018.244734,83496.5599719,5330.32861224,5135.90170806,82152.6666157,7793.54686083,9167.9260211,5810.33557211,5598.05650232
Com_16981_pos,12778.5439579,13406.5588689,10973.3049049,13286.1174791,18037.8167587,13190.0879428,68380.2243639,11088.7728794,15177.9142356,13089.2852583,15177.9920489,104921.066847,10746.9953415,13662.0285959,11800.5238735,9262.92382515,11903.8924058,21779.4514994,18066.9120743,19666.5882776
