Sample,neg_H_1_4,neg_H_2_0,neg_H_3_1,neg_H_3_2,neg_H_4_0,neg_H_4_3,neg_H_5_1,neg_H_5_2,neg_H_5_3,neg_H_5_4,neg_C_6_0,neg_C_6_2,neg_C_6_3,neg_C_7_0,neg_C_7_2,neg_C_7_3,neg_C_7_4,neg_C_8_0,neg_C_8_2,neg_C_8_4
label,HA,HA,HA,HA,HA,HA,HA,HA,HA,HA,CR,CR,CR,CR,CR,CR,CR,CR,CR,CR
Com_103_neg,29710464.6654,13304028.1411,22023809.1273,40659411.037,15858062.7711,19516555.1931,25846410.0319,23103350.4991,29654621.5861,16191078.8565,22325224.0363,29009974.511,25393103.1383,19854772.8646,25766692.7393,29641145.8163,19543370.6844,30009903.4346,29542850.297,19621667.9185
Com_10400_neg,11127.9627089,33091.3555143,23342.3810115,19740.5321732,32683.3915763,23059.5573735,21307.1954658,14557.5192516,16175.0903365,23983.2652941,17882.7007861,19491.1405003,15664.977399,28589.5207453,19873.3146665,27210.7584944,20047.3668106,20154.6972033,26537.4155519,20649.2938288
Com_1040_neg,534101.461525,231590.507222,799702.164482,953991.865109,638880.866561,691025.317082,878740.492671,330872.845506,1601903.05695,384226.55022,249735.5291,142093.44055,183642.822644,626610.475469,314569.244148,1487048.72644,399292.772138,547308.542676,946940.740791,512205.468317
Com_10429_neg,18898.5876151,30265.0443982,31356.3953284,25022.7187827,29426.9794193,34757.1728807,37787.311035,25260.426147,26832.2486132,22913.4596571,16921.2632867,13156.2759951,21809.5459975,35340.5780054,26577.5865834,20621.3242231,24888.1703008,30701.8036486,33051.0088891,24834.3216296
Com_10445_neg,2251.97996029,2481.21567209,44165.2282563,13599.8867733,3758.48421955,2453.03179114,2203.26776855,3970.53484358,1728.11658117,21824.2572159,6545.00753606,4610.61336828,7584.14758697,22511.6480306,13899.7676005,6935.04865284,35329.4499997,1780.61451022,1848.41021171,1617.35855629
Com_10459_neg,27986.3813293,32469.9660078,29352.2135871,17218.3106251,29979.519231,24208.2450897,31529.1287248,16004.9994417,31057.6679309,20134.8900507,15578.0336243,16970.4428838,17469.5029633,31752.2208065,30818.2396353,24484.9497264,31756.6007447,33966.8475254,29169.2251193,25286.8676316
Com_10463_neg,22346.7136872,18381.9151681,34053.6341599,15699.2560254,24922.0557563,12297.1297485,16563.7920315,25181.2628481,24888.7513047,5577.34641302,38821.4082006,21252.0011513,25840.0368282,22578.8330905,21840.6232774,14937.2918638,4452.75086942,17577.8285327,9720.13101815,9190.62091652
Com_10465_neg,26741.4846794,15935.837989,8312.66515795,16101.4200559,12771.7000026,28213.991524,12183.2723183,8774.19855076,40325.6824814,7907.20992715,20970.0685873,29911.6465547,10535.3111356,21111.1358401,27454.6187064,11029.9302812,14578.7613649,20549.6525619,20258.0732997,16079.0786267
Com_10475_neg,3849.23645784,5395.46783804,4881.61024624,8762.53881662,14412.690253,15333.7577234,24766.2118217,38791.4383564,10605.8563308,4283.8478824,18995.9297855,14894.3924346,26960.1353972,35357.3592672,17075.6326642,4499.7015658,3491.17309892,9726.9877362,6813.9989272,13949.7474714
Com_10481_neg,25838.5771425,25270.2879572,9094.53792063,4998.90030494,14958.3929547,10671.7761848,42255.0231091,28190.824018,15295.9120768,16516.3354544,12050.4173717,7421.05388066,9446.02309567,8769.41501105,9478.85613865,13679.881522,11057.2730009,7781.51738445,8914.09010177,8675.57277313
