m.z	p.value	t.score
257.07201	0.19031587607439004	68
244.10578	0.19031587607439004	68
501.16954	0.19031587607439004	68
182.04399	0.19031587607439004	32
536.29848	0.19031587607439004	32
230.11519	0.19031587607439004	68
248.17733	0.19031587607439004	32
199.08428	0.19031587607439004	68
97.97682	0.19031587607439004	68
566.05531	0.19031587607439004	68
473.25233	0.19031587607439004	32
89.04765	0.19031587607439004	68
342.1162	0.19031587607439004	68
416.24102	0.19031587607439004	68
417.3239	0.19031587607439004	68
200.10479	0.19031587607439004	68
364.29728	0.19031587607439004	32
198.12372	0.19031587607439004	32
164.0507	0.19031587607439004	68
291.13169	0.19031587607439004	68
320.27142	0.19031587607439004	68
338.31841	0.19031587607439004	68
328.18846	0.19031587607439004	68
258.16175	0.19031587607439004	68
318.10977	0.19031587607439004	32
