"","V","p.value","-log10(p)","FDR"
"Com_12945_pos",56,0.68421,0.16481,0.92418
"Com_1294_pos",67,0.21756,0.66242,0.70646
"Com_12966_pos",35,0.27986,0.55306,0.73906
"Com_12974_pos",65,0.27986,0.55306,0.73906
"Com_12976_pos",60,0.48125,0.31763,0.85132
"Com_1297_pos",49,0.97051,0.012999,0.99948
"Com_12995_pos",73,0.08921,1.0496,0.52234
"Com_12999_pos",44,0.68421,0.16481,0.92418
"Com_13021_pos",49,0.97051,0.012999,0.99948
"Com_13030_pos",50,1,0,1
"Com_13055_pos",62,0.39305,0.40555,0.79969
"Com_13060_pos",47,0.85343,0.068833,0.98294
"Com_13093_pos",38,0.39305,0.40555,0.79969
"Com_13104_pos",73,0.08921,1.0496,0.52234
"Com_1310_pos",59,0.52885,0.27667,0.86844
"Com_13116_pos",51,0.97051,0.012999,0.99948
"Com_13129_pos",84,0.0089307,2.0491,0.28886
"Com_13135_pos",66,0.24745,0.60651,0.71394
"Com_13147_pos",59,0.52885,0.27667,0.86844
"Com_13152_pos",43,0.63053,0.20029,0.91112
"Com_13171_pos",52,0.9118,0.040102,0.99065
"Com_13177_pos",56,0.68421,0.16481,0.92418
"Com_1317_pos",42,0.57874,0.23752,0.88784
"Com_13187_pos",50,1,0,1
"Com_13191_pos",70,0.14314,0.84424,0.63324
"Com_13195_pos",51,0.97051,0.012999,0.99948
"Com_13197_pos",76,0.052426,1.2805,0.46149
"Com_131_pos",48,0.9118,0.040102,0.99065
"Com_1320_pos",97,7.5776e-05,4.1205,0.10506
"Com_13210_pos",54,0.79594,0.099122,0.97073
"Com_13226_pos",59,0.52885,0.27667,0.86844
"Com_13227_pos",67,0.21756,0.66242,0.70646
"Com_13231_pos",94,0.00032475,3.4884,0.10506
"Com_13242_pos",56,0.68421,0.16481,0.92418
"Com_13249_pos",49,0.97051,0.012999,0.99948
"Com_13271_pos",50,1,0,1
"Com_13276_pos",47,0.85343,0.068833,0.98294
"Com_1327_pos",36,0.315,0.50169,0.76474
"Com_13280_pos",46,0.79594,0.099122,0.97073
"Com_13282_pos",49,0.97051,0.012999,0.99948
"Com_13286_pos",52,0.9118,0.040102,0.99065
"Com_13288_pos",44,0.68421,0.16481,0.92418
"Com_1328_pos",47,0.85343,0.068833,0.98294
"Com_13308_pos",57,0.63053,0.20029,0.91112
"Com_1330_pos",43,0.63053,0.20029,0.91112
"Com_13371_pos",44,0.68421,0.16481,0.92418
"Com_133_pos",35,0.27986,0.55306,0.73906
"Com_13401_pos",34,0.24745,0.60651,0.71394
"Com_13402_pos",55,0.73936,0.13114,0.94633
"Com_13473_pos",69,0.16549,0.78122,0.65589
"Com_13482_pos",82,0.01469,1.833,0.3287
"Com_13499_pos",34,0.24745,0.60651,0.71394
"Com_13505_pos",67,0.21756,0.66242,0.70646
"Com_13508_pos",75,0.063013,1.2006,0.4868
"Com_13535_pos",45,0.73936,0.13114,0.94633
"Com_13542_pos",57,0.63053,0.20029,0.91112
"Com_13544_pos",31,0.16549,0.78122,0.65589
"Com_13546_pos",44,0.68421,0.16481,0.92418
"Com_13548_pos",34,0.24745,0.60651,0.71394
"Com_1354_pos",38,0.39305,0.40555,0.79969
"Com_13557_pos",72,0.10512,0.9783,0.55409
"Com_13559_pos",57,0.63053,0.20029,0.91112
"Com_13577_pos",46,0.79594,0.099122,0.97073
"Com_1357_pos",68,0.19032,0.72052,0.68218
"Com_13594_pos",53,0.85343,0.068833,0.98294
"Com_13614_pos",56,0.68421,0.16481,0.92418
"Com_1361_pos",39,0.43587,0.36064,0.83189
"Com_13630_pos",56,0.68421,0.16481,0.92418
"Com_13645_pos",81,0.018543,1.7318,0.3287
"Com_13650_pos",35,0.27986,0.55306,0.73906
"Com_13701_pos",78,0.035463,1.4502,0.41156
"Com_13716_pos",47,0.85343,0.068833,0.98294
"Com_13719_pos",60,0.48125,0.31763,0.85132
"Com_13723_pos",58,0.57874,0.23752,0.88784
"Com_13732_pos",49,0.97051,0.012999,0.99948
"Com_13734_pos",50,1,0,1
"Com_13736_pos",44,0.68421,0.16481,0.92418
"Com_13754_pos",47,0.85343,0.068833,0.98294
"Com_1375_pos",61,0.43587,0.36064,0.83189
"Com_13764_pos",66,0.24745,0.60651,0.71394
"Com_13768_pos",52,0.9118,0.040102,0.99065
"Com_1376_pos",35,0.27986,0.55306,0.73906
"Com_13782_pos",43,0.63053,0.20029,0.91112
