"","V","p.value","-log10(p)","FDR"
"Com_24221_pos",73,0.08921,1.0496,0.52234
"Com_24255_pos",75,0.063013,1.2006,0.4868
"Com_24259_pos",42,0.57874,0.23752,0.88784
"Com_24262_pos",47,0.85343,0.068833,0.98294
"Com_24270_pos",53,0.85343,0.068833,0.98294
"Com_24286_pos",47,0.85343,0.068833,0.98294
"Com_24295_pos",51,0.97051,0.012999,0.99948
"Com_24300_pos",50,1,0,1
"Com_24301_pos",44,0.68421,0.16481,0.92418
"Com_24303_pos",70,0.14314,0.84424,0.63324
"Com_24313_pos",56,0.68421,0.16481,0.92418
"Com_24319_pos",30,0.14314,0.84424,0.63324
"Com_24322_pos",50,1,0,1
"Com_24334_pos",68,0.19032,0.72052,0.68218
"Com_24337_pos",67,0.21756,0.66242,0.70646
"Com_2433_pos",88,0.0028795,2.5407,0.1656
"Com_24346_pos",31,0.16549,0.78122,0.65589
"Com_2434_pos",52,0.9118,0.040102,0.99065
"Com_24393_pos",48,0.9118,0.040102,0.99065
"Com_2440_pos",83,0.011496,1.9394,0.28886
"Com_24420_pos",50,1,0,1
"Com_24423_pos",47,0.85343,0.068833,0.98294
"Com_24431_pos",34,0.24745,0.60651,0.71394
"Com_24445_pos",48,0.9118,0.040102,0.99065
"Com_24465_pos",81,0.018543,1.7318,0.3287
"Com_24466_pos",47,0.85343,0.068833,0.98294
"Com_24470_pos",73,0.08921,1.0496,0.52234
"Com_24481_pos",58,0.57874,0.23752,0.88784
"Com_24486_pos",56,0.68421,0.16481,0.92418
"Com_24489_pos",51,0.97051,0.012999,0.99948
"Com_24511_pos",49,0.97051,0.012999,0.99948
"Com_24519_pos",73,0.08921,1.0496,0.52234
"Com_24539_pos",63,0.35268,0.45262,0.793
"Com_24545_pos",58,0.57874,0.23752,0.88784
"Com_24550_pos",34,0.24745,0.60651,0.71394
"Com_24552_pos",58,0.57874,0.23752,0.88784
"Com_24563_pos",52,0.9118,0.040102,0.99065
"Com_24568_pos",77,0.043257,1.3639,0.4356
"Com_24579_pos",58,0.57874,0.23752,0.88784
"Com_24584_pos",52,0.9118,0.040102,0.99065
"Com_24595_pos",49,0.97051,0.012999,0.99948
"Com_24599_pos",42,0.57874,0.23752,0.88784
"Com_24600_pos",41,0.52885,0.27667,0.86844
"Com_24615_pos",61,0.43587,0.36064,0.83189
"Com_2462_pos",35,0.27986,0.55306,0.73906
"Com_24640_pos",60,0.48125,0.31763,0.85132
"Com_2464_pos",37,0.35268,0.45262,0.793
"Com_24685_pos",37,0.35268,0.45262,0.793
"Com_24704_pos",58,0.57874,0.23752,0.88784
"Com_24706_pos",64,0.315,0.50169,0.76474
"Com_24714_pos",55,0.73936,0.13114,0.94633
"Com_24722_pos",64,0.315,0.50169,0.76474
"Com_24723_pos",47,0.85343,0.068833,0.98294
"Com_24727_pos",53,0.85343,0.068833,0.98294
"Com_24738_pos",61,0.43587,0.36064,0.83189
"Com_24745_pos",65,0.27986,0.55306,0.73906
"Com_24749_pos",58,0.57874,0.23752,0.88784
"Com_24780_pos",34,0.24745,0.60651,0.71394
"Com_24789_pos",68,0.19032,0.72052,0.68218
"Com_2478_pos",59,0.52885,0.27667,0.86844
"Com_2479_pos",84,0.0089307,2.0491,0.28886
"Com_24800_pos",45,0.73936,0.13114,0.94633
"Com_24806_pos",69,0.16549,0.78122,0.65589
"Com_2480_pos",62,0.39305,0.40555,0.79969
"Com_24811_pos",61,0.43587,0.36064,0.83189
"Com_2482_pos",59,0.52885,0.27667,0.86844
"Com_24839_pos",80,0.023231,1.6339,0.35365
"Com_24842_pos",64,0.315,0.50169,0.76474
"Com_24851_pos",64,0.315,0.50169,0.76474
"Com_24860_pos",55,0.73936,0.13114,0.94633
"Com_24891_pos",65,0.27986,0.55306,0.73906
"Com_24893_pos",70,0.14314,0.84424,0.63324
"Com_24906_pos",69,0.16549,0.78122,0.65589
"Com_24940_pos",56,0.68421,0.16481,0.92418
"Com_24986_pos",66,0.24745,0.60651,0.71394
"Com_24990_pos",50,1,0,1
"Com_24995_pos",54,0.79594,0.099122,0.97073
"Com_2500_pos",68,0.19032,0.72052,0.68218
"Com_25019_pos",41,0.52885,0.27667,0.86844
"Com_25024_pos",74,0.075256,1.1235,0.50326
"Com_25049_pos",62,0.39305,0.40555,0.79969
"Com_25050_pos",84,0.0089307,2.0491,0.28886
"Com_25051_pos",48,0.9118,0.040102,0.99065
"Com_25071_pos",52,0.9118,0.040102,0.99065
"Com_25085_pos",74,0.075256,1.1235,0.50326
"Com_25090_pos",47,0.85343,0.068833,0.98294
"Com_25091_pos",27,0.08921,1.0496,0.52234
"Com_25094_pos",27,0.08921,1.0496,0.52234
"Com_25110_pos",46,0.79594,0.099122,0.97073
"Com_25114_pos",60,0.48125,0.31763,0.85132
"Com_25115_pos",72,0.10512,0.9783,0.55409
"Com_25139_pos",58,0.57874,0.23752,0.88784
"Com_25144_pos",46,0.79594,0.099122,0.97073
"Com_25162_pos",48,0.9118,0.040102,0.99065
"Com_25163_pos",54,0.79594,0.099122,0.97073
"Com_25168_pos",59,0.52885,0.27667,0.86844
"Com_25176_pos",60,0.48125,0.31763,0.85132
"Com_25190_pos",59,0.52885,0.27667,0.86844
"Com_25192_pos",44,0.68421,0.16481,0.92418
"Com_25197_pos",54,0.79594,0.099122,0.97073
"Com_25199_pos",56,0.68421,0.16481,0.92418
"Com_25202_pos",32,0.19032,0.72052,0.68218
"Com_25207_pos",67,0.21756,0.66242,0.70646
"Com_25229_pos",53,0.85343,0.068833,0.98294
"Com_25233_pos",65,0.27986,0.55306,0.73906
"Com_25234_pos",61,0.43587,0.36064,0.83189
"Com_25236_pos",40,0.48125,0.31763,0.85132
"Com_25254_pos",64,0.315,0.50169,0.76474
"Com_25261_pos",51,0.97051,0.012999,0.99948
"Com_2527_pos",31,0.16549,0.78122,0.65589
"Com_25289_pos",66,0.24745,0.60651,0.71394
"Com_25297_pos",44,0.68421,0.16481,0.92418
"Com_25305_pos",38,0.39305,0.40555,0.79969
"Com_25319_pos",65,0.27986,0.55306,0.73906
"Com_25322_pos",52,0.9118,0.040102,0.99065
"Com_25338_pos",47,0.85343,0.068833,0.98294
"Com_25347_pos",53,0.85343,0.068833,0.98294
"Com_25348_pos",44,0.68421,0.16481,0.92418
"Com_25352_pos",55,0.73936,0.13114,0.94633
"Com_25354_pos",36,0.315,0.50169,0.76474
"Com_2535_pos",47,0.85343,0.068833,0.98294
"Com_25363_pos",62,0.39305,0.40555,0.79969
"Com_25380_pos",56,0.68421,0.16481,0.92418
"Com_25391_pos",40,0.48125,0.31763,0.85132
"Com_2556_pos",33,0.21756,0.66242,0.70646
"Com_2561_pos",48,0.9118,0.040102,0.99065
"Com_2563_pos",88,0.0028795,2.5407,0.1656
"Com_2585_pos",72,0.10512,0.9783,0.55409
"Com_2594_pos",38,0.39305,0.40555,0.79969
"Com_260_pos",63,0.35268,0.45262,0.793
"Com_2633_pos",73,0.08921,1.0496,0.52234
"Com_2637_pos",42,0.57874,0.23752,0.88784
"Com_2655_pos",52,0.9118,0.040102,0.99065
"Com_2660_pos",47,0.85343,0.068833,0.98294
"Com_2664_pos",59,0.52885,0.27667,0.86844
"Com_2674_pos",36,0.315,0.50169,0.76474
"Com_2680_pos",46,0.79594,0.099122,0.97073
"Com_2691_pos",17,0.011496,1.9394,0.28886
"Com_2693_pos",55,0.73936,0.13114,0.94633
"Com_2695_pos",52,0.9118,0.040102,0.99065
"Com_2696_pos",40,0.48125,0.31763,0.85132
"Com_2725_pos",60,0.48125,0.31763,0.85132
"Com_2727_pos",58,0.57874,0.23752,0.88784
"Com_2728_pos",59,0.52885,0.27667,0.86844
"Com_2735_pos",38,0.39305,0.40555,0.79969
"Com_2738_pos",45,0.73936,0.13114,0.94633
"Com_2748_pos",59,0.52885,0.27667,0.86844
"Com_2755_pos",69,0.16549,0.78122,0.65589
"Com_275_pos",65,0.27986,0.55306,0.73906
"Com_2766_pos",67,0.21756,0.66242,0.70646
"Com_2772_pos",64,0.315,0.50169,0.76474
"Com_2774_pos",58,0.57874,0.23752,0.88784
"Com_277_pos",48,0.9118,0.040102,0.99065
"Com_2790_pos",64,0.315,0.50169,0.76474
"Com_2794_pos",58,0.57874,0.23752,0.88784
"Com_27_pos",31,0.16549,0.78122,0.65589
"Com_2801_pos",69,0.16549,0.78122,0.65589
"Com_2812_pos",72,0.10512,0.9783,0.55409
"Com_2830_pos",47,0.85343,0.068833,0.98294
"Com_2832_pos",58,0.57874,0.23752,0.88784
"Com_2847_pos",59,0.52885,0.27667,0.86844
"Com_2849_pos",62,0.39305,0.40555,0.79969
"Com_284_pos",65,0.27986,0.55306,0.73906
"Com_2853_pos",61,0.43587,0.36064,0.83189
"Com_2862_pos",81,0.018543,1.7318,0.3287
"Com_2878_pos",52,0.9118,0.040102,0.99065
"Com_2879_pos",53,0.85343,0.068833,0.98294
"Com_2886_pos",33,0.21756,0.66242,0.70646
"Com_288_pos",53,0.85343,0.068833,0.98294
"Com_2891_pos",77,0.043257,1.3639,0.4356
"Com_2893_pos",54,0.79594,0.099122,0.97073
"Com_28_pos",63,0.35268,0.45262,0.793
"Com_2911_pos",45,0.73936,0.13114,0.94633
"Com_2928_pos",88,0.0028795,2.5407,0.1656
"Com_2931_pos",56,0.68421,0.16481,0.92418
"Com_293_pos",78,0.035463,1.4502,0.41156
"Com_2940_pos",40,0.48125,0.31763,0.85132
"Com_2946_pos",52,0.9118,0.040102,0.99065
"Com_2955_pos",64,0.315,0.50169,0.76474
"Com_296_pos",58,0.57874,0.23752,0.88784
"Com_2971_pos",62,0.39305,0.40555,0.79969
"Com_298_pos",58,0.57874,0.23752,0.88784
"Com_2995_pos",85,0.0068415,2.1649,0.25294
"Com_3009_pos",57,0.63053,0.20029,0.91112
"Com_3019_pos",57,0.63053,0.20029,0.91112
"Com_3029_pos",16,0.0089307,2.0491,0.28886
"Com_3033_pos",53,0.85343,0.068833,0.98294
"Com_3035_pos",79,0.028806,1.5405,0.38035
"Com_3038_pos",62,0.39305,0.40555,0.79969
"Com_3041_pos",85,0.0068415,2.1649,0.25294
"Com_3045_pos",61,0.43587,0.36064,0.83189
"Com_3049_pos",63,0.35268,0.45262,0.793
"Com_3053_pos",67,0.21756,0.66242,0.70646
"Com_3070_pos",61,0.43587,0.36064,0.83189
"Com_3077_pos",50,1,0,1
"Com_3078_pos",49,0.97051,0.012999,0.99948
"Com_307_pos",44,0.68421,0.16481,0.92418
"Com_308_pos",46,0.79594,0.099122,0.97073
"Com_3092_pos",62,0.39305,0.40555,0.79969
"Com_3118_pos",64,0.315,0.50169,0.76474
"Com_3120_pos",49,0.97051,0.012999,0.99948
"Com_312_pos",66,0.24745,0.60651,0.71394
"Com_3138_pos",59,0.52885,0.27667,0.86844
"Com_3139_pos",81,0.018543,1.7318,0.3287
"Com_3143_pos",61,0.43587,0.36064,0.83189
"Com_3163_pos",72,0.10512,0.9783,0.55409
"Com_316_pos",96,0.0001299,3.8864,0.10506
"Com_3181_pos",66,0.24745,0.60651,0.71394
"Com_318_pos",49,0.97051,0.012999,0.99948
"Com_320_pos",53,0.85343,0.068833,0.98294
"Com_3228_pos",67,0.21756,0.66242,0.70646
"Com_3229_pos",76,0.052426,1.2805,0.46149
"Com_322_pos",59,0.52885,0.27667,0.86844
"Com_3232_pos",51,0.97051,0.012999,0.99948
"Com_3233_pos",24,0.052426,1.2805,0.46149
"Com_3249_pos",77,0.043257,1.3639,0.4356
"Com_3252_pos",88,0.0028795,2.5407,0.1656
"Com_3255_pos",67,0.21756,0.66242,0.70646
"Com_325_pos",56,0.68421,0.16481,0.92418
"Com_3264_pos",37,0.35268,0.45262,0.793
"Com_326_pos",78,0.035463,1.4502,0.41156
"Com_3270_pos",49,0.97051,0.012999,0.99948
"Com_3279_pos",68,0.19032,0.72052,0.68218
"Com_3283_pos",37,0.35268,0.45262,0.793
"Com_3294_pos",65,0.27986,0.55306,0.73906
"Com_3296_pos",90,0.0015047,2.8226,0.1656
"Com_3308_pos",54,0.79594,0.099122,0.97073
"Com_3316_pos",40,0.48125,0.31763,0.85132
"Com_3369_pos",68,0.19032,0.72052,0.68218
"Com_3370_pos",61,0.43587,0.36064,0.83189
"Com_3371_pos",65,0.27986,0.55306,0.73906
"Com_337_pos",57,0.63053,0.20029,0.91112
"Com_3388_pos",55,0.73936,0.13114,0.94633
"Com_339_pos",64,0.315,0.50169,0.76474
"Com_3405_pos",35,0.27986,0.55306,0.73906
"Com_341_pos",67,0.21756,0.66242,0.70646
"Com_3421_pos",65,0.27986,0.55306,0.73906
"Com_3422_pos",49,0.97051,0.012999,0.99948
"Com_3441_pos",80,0.023231,1.6339,0.35365
"Com_344_pos",48,0.9118,0.040102,0.99065
"Com_3462_pos",83,0.011496,1.9394,0.28886
"Com_3475_pos",34,0.24745,0.60651,0.71394
"Com_3476_pos",58,0.57874,0.23752,0.88784
"Com_3482_pos",24,0.052426,1.2805,0.46149
"Com_3489_pos",50,1,0,1
"Com_349_pos",37,0.35268,0.45262,0.793
"Com_3506_pos",58,0.57874,0.23752,0.88784
"Com_3510_pos",83,0.011496,1.9394,0.28886
"Com_3518_pos",32,0.19032,0.72052,0.68218
"Com_3523_pos",47,0.85343,0.068833,0.98294
"Com_3531_pos",51,0.97051,0.012999,0.99948
"Com_3538_pos",57,0.63053,0.20029,0.91112
"Com_3540_pos",67,0.21756,0.66242,0.70646
"Com_354_pos",66,0.24745,0.60651,0.71394
"Com_3565_pos",39,0.43587,0.36064,0.83189
"Com_3575_pos",50,1,0,1
"Com_3578_pos",59,0.52885,0.27667,0.86844
"Com_357_pos",64,0.315,0.50169,0.76474
"Com_3583_pos",69,0.16549,0.78122,0.65589
"Com_3586_pos",15,0.0068415,2.1649,0.25294
"Com_3589_pos",64,0.315,0.50169,0.76474
"Com_358_pos",44,0.68421,0.16481,0.92418
"Com_3602_pos",42,0.57874,0.23752,0.88784
"Com_3613_pos",56,0.68421,0.16481,0.92418
"Com_3615_pos",51,0.97051,0.012999,0.99948
"Com_3627_pos",73,0.08921,1.0496,0.52234
"Com_3630_pos",76,0.052426,1.2805,0.46149
"Com_3637_pos",57,0.63053,0.20029,0.91112
"Com_3646_pos",62,0.39305,0.40555,0.79969
"Com_365_pos",73,0.08921,1.0496,0.52234
"Com_3660_pos",68,0.19032,0.72052,0.68218
"Com_3672_pos",38,0.39305,0.40555,0.79969
"Com_3689_pos",52,0.9118,0.040102,0.99065
"Com_3706_pos",60,0.48125,0.31763,0.85132
"Com_3713_pos",60,0.48125,0.31763,0.85132
"Com_373_pos",28,0.10512,0.9783,0.55409
"Com_3747_pos",44,0.68421,0.16481,0.92418
"Com_3772_pos",67,0.21756,0.66242,0.70646
"Com_3791_pos",22,0.035463,1.4502,0.41156
"Com_3798_pos",59,0.52885,0.27667,0.86844
"Com_379_pos",62,0.39305,0.40555,0.79969
"Com_3804_pos",43,0.63053,0.20029,0.91112
"Com_380_pos",37,0.35268,0.45262,0.793
"Com_3814_pos",65,0.27986,0.55306,0.73906
"Com_3819_pos",69,0.16549,0.78122,0.65589
"Com_3822_pos",45,0.73936,0.13114,0.94633
"Com_3826_pos",71,0.12301,0.91008,0.59614
"Com_3829_pos",56,0.68421,0.16481,0.92418
"Com_3831_pos",49,0.97051,0.012999,0.99948
"Com_3843_pos",61,0.43587,0.36064,0.83189
"Com_3846_pos",71,0.12301,0.91008,0.59614
"Com_3854_pos",56,0.68421,0.16481,0.92418
"Com_3858_pos",61,0.43587,0.36064,0.83189
"Com_385_pos",62,0.39305,0.40555,0.79969
"Com_3863_pos",54,0.79594,0.099122,0.97073
"Com_3885_pos",64,0.315,0.50169,0.76474
"Com_3889_pos",61,0.43587,0.36064,0.83189
"Com_3905_pos",75,0.063013,1.2006,0.4868
"Com_3927_pos",46,0.79594,0.099122,0.97073
"Com_392_pos",70,0.14314,0.84424,0.63324
"Com_3934_pos",46,0.79594,0.099122,0.97073
"Com_3955_pos",44,0.68421,0.16481,0.92418
"Com_3982_pos",62,0.39305,0.40555,0.79969
"Com_3985_pos",75,0.063013,1.2006,0.4868
"Com_39_pos",30,0.14314,0.84424,0.63324
"Com_3_pos",50,1,0,1
"Com_4006_pos",56,0.68421,0.16481,0.92418
"Com_4010_pos",43,0.63053,0.20029,0.91112
"Com_4016_pos",76,0.052426,1.2805,0.46149
"Com_4046_pos",64,0.315,0.50169,0.76474
"Com_4063_pos",69,0.16549,0.78122,0.65589
"Com_4067_pos",59,0.52885,0.27667,0.86844
"Com_4077_pos",57,0.63053,0.20029,0.91112
"Com_4083_pos",27,0.08921,1.0496,0.52234
"Com_4086_pos",54,0.79594,0.099122,0.97073
"Com_4087_pos",57,0.63053,0.20029,0.91112
"Com_4094_pos",57,0.63053,0.20029,0.91112
"Com_4097_pos",69,0.16549,0.78122,0.65589
"Com_4109_pos",62,0.39305,0.40555,0.79969
"Com_4110_pos",35,0.27986,0.55306,0.73906
"Com_4113_pos",60,0.48125,0.31763,0.85132
"Com_4123_pos",40,0.48125,0.31763,0.85132
"Com_4124_pos",53,0.85343,0.068833,0.98294
"Com_4125_pos",26,0.075256,1.1235,0.50326
"Com_4128_pos",25,0.063013,1.2006,0.4868
"Com_4144_pos",70,0.14314,0.84424,0.63324
"Com_4155_pos",58,0.57874,0.23752,0.88784
"Com_4156_pos",69,0.16549,0.78122,0.65589
"Com_4167_pos",59,0.52885,0.27667,0.86844
"Com_416_pos",37,0.35268,0.45262,0.793
"Com_4206_pos",62,0.39305,0.40555,0.79969
"Com_4219_pos",67,0.21756,0.66242,0.70646
"Com_4234_pos",68,0.19032,0.72052,0.68218
"Com_4239_pos",64,0.315,0.50169,0.76474
"Com_4250_pos",74,0.075256,1.1235,0.50326
"Com_4264_pos",59,0.52885,0.27667,0.86844
"Com_4269_pos",33,0.21756,0.66242,0.70646
"Com_4272_pos",59,0.52885,0.27667,0.86844
"Com_4296_pos",71,0.12301,0.91008,0.59614
"Com_4298_pos",68,0.19032,0.72052,0.68218
"Com_4304_pos",33,0.21756,0.66242,0.70646
"Com_4313_pos",76,0.052426,1.2805,0.46149
"Com_4336_pos",48,0.9118,0.040102,0.99065
"Com_4341_pos",45,0.73936,0.13114,0.94633
"Com_4342_pos",66,0.24745,0.60651,0.71394
"Com_434_pos",52,0.9118,0.040102,0.99065
"Com_4356_pos",70,0.14314,0.84424,0.63324
"Com_4362_pos",77,0.043257,1.3639,0.4356
"Com_4364_pos",71,0.12301,0.91008,0.59614
"Com_4375_pos",73,0.08921,1.0496,0.52234
"Com_4407_pos",40,0.48125,0.31763,0.85132
"Com_441_pos",37,0.35268,0.45262,0.793
"Com_4434_pos",28,0.10512,0.9783,0.55409
"Com_4437_pos",71,0.12301,0.91008,0.59614
"Com_4439_pos",22,0.035463,1.4502,0.41156
"Com_4442_pos",62,0.39305,0.40555,0.79969
"Com_4448_pos",71,0.12301,0.91008,0.59614
"Com_4451_pos",56,0.68421,0.16481,0.92418
"Com_4457_pos",47,0.85343,0.068833,0.98294
"Com_446_pos",62,0.39305,0.40555,0.79969
"Com_4474_pos",61,0.43587,0.36064,0.83189
"Com_4475_pos",80,0.023231,1.6339,0.35365
"Com_4505_pos",51,0.97051,0.012999,0.99948
"Com_4510_pos",33,0.21756,0.66242,0.70646
"Com_4518_pos",65,0.27986,0.55306,0.73906
"Com_4528_pos",57,0.63053,0.20029,0.91112
"Com_455_pos",53,0.85343,0.068833,0.98294
"Com_4573_pos",76,0.052426,1.2805,0.46149
"Com_4577_pos",72,0.10512,0.9783,0.55409
"Com_4581_pos",50,1,0,1
"Com_4588_pos",44,0.68421,0.16481,0.92418
"Com_458_pos",45,0.73936,0.13114,0.94633
"Com_4597_pos",62,0.39305,0.40555,0.79969
"Com_459_pos",56,0.68421,0.16481,0.92418
"Com_460_pos",44,0.68421,0.16481,0.92418
"Com_4610_pos",62,0.39305,0.40555,0.79969
"Com_4612_pos",36,0.315,0.50169,0.76474
"Com_4619_pos",55,0.73936,0.13114,0.94633
"Com_461_pos",39,0.43587,0.36064,0.83189
"Com_4622_pos",44,0.68421,0.16481,0.92418
"Com_4626_pos",61,0.43587,0.36064,0.83189
"Com_4632_pos",56,0.68421,0.16481,0.92418
"Com_4639_pos",68,0.19032,0.72052,0.68218
"Com_4643_pos",46,0.79594,0.099122,0.97073
"Com_4648_pos",79,0.028806,1.5405,0.38035
"Com_4662_pos",58,0.57874,0.23752,0.88784
"Com_4675_pos",52,0.9118,0.040102,0.99065
"Com_4706_pos",60,0.48125,0.31763,0.85132
"Com_4707_pos",47,0.85343,0.068833,0.98294
"Com_4721_pos",73,0.08921,1.0496,0.52234
"Com_4740_pos",50,1,0,1
"Com_4741_pos",49,0.97051,0.012999,0.99948
"Com_4749_pos",48,0.9118,0.040102,0.99065
"Com_4766_pos",67,0.21756,0.66242,0.70646
"Com_4770_pos",59,0.52885,0.27667,0.86844
"Com_4774_pos",45,0.73936,0.13114,0.94633
"Com_4781_pos",57,0.63053,0.20029,0.91112
"Com_4786_pos",33,0.21756,0.66242,0.70646
"Com_4787_pos",46,0.79594,0.099122,0.97073
"Com_4794_pos",28,0.10512,0.9783,0.55409
"Com_479_pos",59,0.52885,0.27667,0.86844
"Com_47_pos",64,0.315,0.50169,0.76474
"Com_4801_pos",38,0.39305,0.40555,0.79969
"Com_4802_pos",78,0.035463,1.4502,0.41156
"Com_4807_pos",25,0.063013,1.2006,0.4868
"Com_4811_pos",49,0.97051,0.012999,0.99948
"Com_4812_pos",62,0.39305,0.40555,0.79969
"Com_4832_pos",25,0.063013,1.2006,0.4868
"Com_4836_pos",43,0.63053,0.20029,0.91112
"Com_4850_pos",62,0.39305,0.40555,0.79969
"Com_4851_pos",53,0.85343,0.068833,0.98294
"Com_4853_pos",61,0.43587,0.36064,0.83189
"Com_4858_pos",83,0.011496,1.9394,0.28886
"Com_4861_pos",69,0.16549,0.78122,0.65589
"Com_4865_pos",18,0.01469,1.833,0.3287
"Com_4869_pos",66,0.24745,0.60651,0.71394
"Com_4871_pos",67,0.21756,0.66242,0.70646
"Com_487_pos",32,0.19032,0.72052,0.68218
"Com_4885_pos",45,0.73936,0.13114,0.94633
"Com_4891_pos",44,0.68421,0.16481,0.92418
"Com_4895_pos",70,0.14314,0.84424,0.63324
"Com_4905_pos",65,0.27986,0.55306,0.73906
"Com_4916_pos",70,0.14314,0.84424,0.63324
"Com_4923_pos",66,0.24745,0.60651,0.71394
"Com_4927_pos",69,0.16549,0.78122,0.65589
"Com_4934_pos",75,0.063013,1.2006,0.4868
"Com_4938_pos",54,0.79594,0.099122,0.97073
"Com_4941_pos",80,0.023231,1.6339,0.35365
"Com_4948_pos",29,0.12301,0.91008,0.59614
"Com_4953_pos",54,0.79594,0.099122,0.97073
"Com_4957_pos",44,0.68421,0.16481,0.92418
"Com_4967_pos",80,0.023231,1.6339,0.35365
"Com_4972_pos",52,0.9118,0.040102,0.99065
"Com_497_pos",64,0.315,0.50169,0.76474
"Com_4995_pos",81,0.018543,1.7318,0.3287
"Com_4_pos",57,0.63053,0.20029,0.91112
"Com_5009_pos",83,0.011496,1.9394,0.28886
"Com_5015_pos",34,0.24745,0.60651,0.71394
"Com_501_pos",70,0.14314,0.84424,0.63324
"Com_505_pos",30,0.14314,0.84424,0.63324
"Com_5065_pos",30,0.14314,0.84424,0.63324
"Com_507_pos",46,0.79594,0.099122,0.97073
"Com_5083_pos",34,0.24745,0.60651,0.71394
"Com_5087_pos",83,0.011496,1.9394,0.28886
"Com_5105_pos",40,0.48125,0.31763,0.85132
"Com_5116_pos",56,0.68421,0.16481,0.92418
"Com_5125_pos",54,0.79594,0.099122,0.97073
"Com_5127_pos",58,0.57874,0.23752,0.88784
"Com_5128_pos",50,1,0,1
"Com_5135_pos",47,0.85343,0.068833,0.98294
"Com_5147_pos",50,1,0,1
"Com_5148_pos",38,0.39305,0.40555,0.79969
"Com_5161_pos",68,0.19032,0.72052,0.68218
"Com_5175_pos",65,0.27986,0.55306,0.73906
"Com_5178_pos",69,0.16549,0.78122,0.65589
"Com_5192_pos",55,0.73936,0.13114,0.94633
"Com_5201_pos",65,0.27986,0.55306,0.73906
"Com_5209_pos",83,0.011496,1.9394,0.28886
"Com_521_pos",37,0.35268,0.45262,0.793
"Com_5222_pos",81,0.018543,1.7318,0.3287
"Com_5239_pos",37,0.35268,0.45262,0.793
"Com_5246_pos",19,0.018543,1.7318,0.3287
"Com_5252_pos",31,0.16549,0.78122,0.65589
"Com_5255_pos",56,0.68421,0.16481,0.92418
"Com_525_pos",67,0.21756,0.66242,0.70646
"Com_5262_pos",31,0.16549,0.78122,0.65589
"Com_5267_pos",40,0.48125,0.31763,0.85132
"Com_5271_pos",59,0.52885,0.27667,0.86844
"Com_5295_pos",69,0.16549,0.78122,0.65589
"Com_531_pos",39,0.43587,0.36064,0.83189
"Com_5331_pos",69,0.16549,0.78122,0.65589
"Com_5332_pos",34,0.24745,0.60651,0.71394
"Com_5336_pos",57,0.63053,0.20029,0.91112
"Com_5338_pos",22,0.035463,1.4502,0.41156
"Com_5351_pos",66,0.24745,0.60651,0.71394
"Com_535_pos",94,0.00032475,3.4884,0.10506
"Com_5364_pos",52,0.9118,0.040102,0.99065
"Com_5370_pos",74,0.075256,1.1235,0.50326
"Com_5373_pos",64,0.315,0.50169,0.76474
"Com_5379_pos",31,0.16549,0.78122,0.65589
"Com_5392_pos",41,0.52885,0.27667,0.86844
"Com_5394_pos",36,0.315,0.50169,0.76474
"Com_5403_pos",49,0.97051,0.012999,0.99948
"Com_540_pos",41,0.52885,0.27667,0.86844
"Com_5415_pos",68,0.19032,0.72052,0.68218
"Com_5425_pos",80,0.023231,1.6339,0.35365
"Com_542_pos",63,0.35268,0.45262,0.793
"Com_5431_pos",41,0.52885,0.27667,0.86844
"Com_5432_pos",36,0.315,0.50169,0.76474
"Com_5435_pos",29,0.12301,0.91008,0.59614
"Com_5453_pos",13,0.0038862,2.4105,0.20115
"Com_5456_pos",29,0.12301,0.91008,0.59614
"Com_5463_pos",57,0.63053,0.20029,0.91112
"Com_5485_pos",43,0.63053,0.20029,0.91112
"Com_5488_pos",62,0.39305,0.40555,0.79969
"Com_5508_pos",36,0.315,0.50169,0.76474
"Com_5523_pos",31,0.16549,0.78122,0.65589
"Com_5543_pos",88,0.0028795,2.5407,0.1656
"Com_5555_pos",65,0.27986,0.55306,0.73906
"Com_5562_pos",26,0.075256,1.1235,0.50326
"Com_557_pos",45,0.73936,0.13114,0.94633
"Com_5582_pos",49,0.97051,0.012999,0.99948
"Com_5597_pos",52,0.9118,0.040102,0.99065
"Com_55_pos",36,0.315,0.50169,0.76474
"Com_5608_pos",69,0.16549,0.78122,0.65589
"Com_5609_pos",54,0.79594,0.099122,0.97073
"Com_5623_pos",80,0.023231,1.6339,0.35365
"Com_5644_pos",45,0.73936,0.13114,0.94633
"Com_5648_pos",51,0.97051,0.012999,0.99948
"Com_5689_pos",62,0.39305,0.40555,0.79969
"Com_5701_pos",64,0.315,0.50169,0.76474
"Com_5709_pos",63,0.35268,0.45262,0.793
"Com_570_pos",42,0.57874,0.23752,0.88784
"Com_5740_pos",59,0.52885,0.27667,0.86844
"Com_5745_pos",63,0.35268,0.45262,0.793
"Com_574_pos",52,0.9118,0.040102,0.99065
"Com_5768_pos",50,1,0,1
"Com_5769_pos",15,0.0068415,2.1649,0.25294
"Com_5807_pos",38,0.39305,0.40555,0.79969
"Com_5808_pos",44,0.68421,0.16481,0.92418
"Com_581_pos",69,0.16549,0.78122,0.65589
"Com_5827_pos",79,0.028806,1.5405,0.38035
"Com_582_pos",45,0.73936,0.13114,0.94633
"Com_5834_pos",49,0.97051,0.012999,0.99948
"Com_5837_pos",53,0.85343,0.068833,0.98294
